serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents
0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0.0
0,0.032617977,75,0,0.006799093000000001,7500.0,4,0,0,0,0.0
0,0.0031088490000000003,57,0,0.258939285,8333.0,7,0,1,0,0.0
0,0.6354151570000001,32,0,0.519493502,3000.0,4,0,1,0,1.0
0,0.9999999,62,0,0.664221287,8314.0,8,0,3,0,0.0
0,0.31844615,58,0,1.3826291080000002,3833.0,26,0,4,0,0.0
0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0
0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0
0,0.00750765,74,0,7.0,4212.369975639036,4,0,0,0,0.0
0,0.06790706000000002,46,0,0.149103029,10200.0,6,0,2,0,0.0
0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0
0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0.0
0,0.31797579600000003,34,0,0.297933792,4500.0,11,0,2,0,0.0
0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0
0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0
0,0.0,59,0,0.35169962200000005,4500.0,12,0,1,0,0.0
0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0
0,0.08388000299999998,53,0,0.199647533,7943.0,8,0,1,0,0.0
0,0.116676791,31,0,0.34359379100000004,3800.0,7,0,1,0,0.0
0,0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4.0
0,0.54699881,50,0,0.7480719790000002,3500.0,9,0,2,0,3.0
0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1.0
0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0.0
0,0.147712223,40,0,0.034847816000000004,6800.0,6,0,0,0,3.0
1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1.0
0,0.323719804,63,0,0.6108412670000001,5146.0,9,0,2,0,2.0
0,0.7718456309999998,33,0,0.8524295140000002,5000.0,7,0,3,0,0.0
0,0.008632034999999998,79,0,0.365151154,4200.0,9,0,1,0,0.0
0,0.184986787,55,4,3144.0,6395.8209009503125,11,0,1,0,0.0
0,0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0.0
0,0.9999999,55,0,0.156259612,3250.0,5,0,0,0,4.0
0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0
1,0.025892469,38,0,74.5,1.0,13,0,0,0,2.0
0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0
0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0.0
0,0.20808276,64,0,2826.0,8055.432117720737,14,0,2,0,0.0
0,0.013500824,53,0,0.183464028,19000.0,8,0,1,0,2.0
0,0.333060631,52,3,0.7001533740000001,5215.0,15,0,2,1,0.0
0,0.260271523,44,0,0.296854804,6962.0,11,0,1,0,0.0
0,0.080288098,37,0,0.322446259,6000.0,7,0,1,0,0.0
0,0.147123525,41,0,0.436025621,6400.0,5,0,1,0,2.0
0,0.025601772,63,1,0.262773723,10000.0,8,0,1,0,0.0
0,0.7875221329999998,52,0,0.353860086,4416.0,12,0,0,0,1.0
0,0.125429152,55,0,0.476704659,5000.0,3,0,2,0,0.0
0,0.295928252,47,0,0.283765445,14000.0,6,0,2,0,1.0
1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0
0,0.15576324,44,0,0.278077082,4825.0,4,0,1,0,2.0
0,0.027446383,54,0,1612.0,5741.0212652742475,6,0,1,0,0.0
0,0.4123986220000001,28,0,0.037259615,4991.0,5,0,0,0,0.0
0,0.029816467000000006,68,0,0.175139978,4464.0,12,0,1,0,1.0
0,0.051368557,68,0,0.445277361,4668.0,10,0,1,0,2.0
0,0.008099838,69,0,0.389895596,8332.0,3,0,1,0,0.0
0,0.691488418,42,0,0.272721679,16250.0,11,0,1,0,1.0
0,0.260971034,57,0,5439.0,9584.083407355949,16,0,3,0,0.0
0,0.048244493,62,0,0.26287915300000003,16615.0,11,0,1,0,1.0
0,0.144878408,66,0,0.28446242,8900.0,9,0,1,0,0.0
0,0.085152475,25,0,1005.0,0.0,5,0,0,0,0.0
0,0.897203427,68,0,0.7878030490000002,4000.0,8,0,2,0,0.0
0,0.25889775,33,0,0.537441339,4900.0,3,0,1,0,1.0
0,0.6964116709999999,52,0,0.408871921,11000.0,11,0,1,0,4.0
0,0.016598893,30,0,0.13657561599999998,1500.0,5,0,0,0,0.0
0,0.0,37,0,0.184027338,7900.0,5,0,1,0,5.0
0,0.426371142,62,1,0.406053995,3666.0,15,0,1,0,0.0
0,0.948978489,57,0,0.043744532,8000.0,3,0,0,0,1.0
0,1.00264667,38,2,0.472542946,3550.0,8,1,0,1,4.0
0,0.022890604,37,0,0.288477299,6100.0,16,0,1,0,0.0
0,0.155240525,52,0,0.483518065,6946.0,15,0,2,0,1.0
0,0.067259209,29,1,0.168340507,2090.0,3,0,0,0,0.0
0,0.9999999,29,0,0.0,3688.5302670981837,0,0,0,0,0.0
0,0.0,55,1,0.388320836,4400.0,4,0,2,0,1.0
0,0.100773109,41,0,0.199761673,9230.0,7,0,1,0,0.0
0,0.0,61,0,1.3949671769999998,913.0,11,0,2,0,0.0
0,0.072318616,71,0,0.4264124620000001,4300.0,8,0,2,0,1.0
0,0.203959597,46,0,0.072914726,16100.0,6,0,1,0,2.0
0,0.049529205,61,0,542.0,5652.92917412638,15,0,0,0,0.0
1,0.9533437010000002,48,2,2073.0,6876.792773503819,5,1,2,2,0.0
0,0.143427862,67,0,0.119463561,5666.0,9,0,0,0,0.0
0,0.496388581,56,0,0.170164956,19580.0,12,0,1,0,1.0
0,0.026580302000000004,79,0,1063.0,5871.98119240946,7,0,1,0,0.0
0,0.08231735099999998,64,0,0.214426305,8636.0,29,0,1,0,1.0
0,0.047650102,63,0,0.387956894,9000.0,6,0,2,0,0.0
1,0.7391464879999998,63,1,0.285156885,6150.0,12,0,0,0,1.0
0,0.9999999,22,0,130.0,3688.5302670981837,0,0,0,0,0.0
0,0.9032315660000002,57,0,0.13080895,5228.0,10,0,0,0,0.0
0,0.017043518,43,0,0.10821382,2300.0,6,0,0,0,1.0
0,0.060733396,61,0,0.008549573000000001,20000.0,8,0,0,0,0.0
0,0.003894686,90,0,876.0,6395.8209009503125,11,0,1,0,0.0
0,0.250008365,60,0,2.086478612,7550.0,26,0,0,0,0.0
0,0.466334165,34,2,0.007495315,3201.0,3,0,0,0,0.0
0,0.7424360409999998,52,0,0.414081023,9700.0,10,0,2,0,0.0
0,0.9999999,42,1,0.113421853,6250.0,3,3,0,1,2.0
0,0.014049649,27,0,0.352214765,3724.0,4,0,1,0,1.0
0,0.026885902000000003,36,0,0.34487992100000003,11200.0,6,0,2,0,2.0
0,0.9999999,33,0,1786.0,5348.141483868609,3,0,1,0,0.0
0,0.0,73,0,0.386728192,4550.0,18,0,0,0,0.0
0,0.9999999,79,0,0.130140954,5178.0,6,0,1,0,0.0
0,0.026944485,41,0,0.686736475,4583.0,8,0,3,0,0.0
0,0.922670104,40,0,0.207789429,9345.0,7,0,0,0,0.0
0,0.051077957,74,0,0.306409131,3416.0,9,0,1,0,0.0
0,0.24367426600000006,48,0,0.179979778,8900.0,10,0,1,0,6.0
0,0.028910707,52,0,0.013543599,5389.0,7,0,0,0,2.0
0,0.799981673,61,3,0.671076012,5064.0,19,0,3,1,0.0
0,0.067901335,69,0,0.065493451,10000.0,5,0,1,0,0.0
0,0.9999999,32,2,0.095584668,2060.0,1,0,0,0,0.0
0,0.05786766700000001,81,0,0.145685279,3939.0,13,0,0,0,0.0
0,0.07807727,60,0,0.566105156,3917.0,14,0,1,0,2.0
0,0.7451734479999998,68,0,0.168767792,4917.0,4,0,1,0,0.0
0,0.102031508,66,0,90.0,4212.369975639036,4,0,0,0,0.0
0,0.640927271,53,4,0.52409692,11266.0,17,0,2,0,3.0
0,0.719305764,64,0,0.186225718,6228.0,5,0,1,0,0.0
0,0.35592819,48,0,0.478090767,7667.0,17,0,2,0,0.0
0,0.57762185,71,1,0.4925,6399.0,14,0,2,0,1.0
0,0.173428408,51,1,0.086269282,5250.0,11,0,0,0,0.0
0,0.001124859,28,1,0.057990335,6000.0,8,1,0,0,0.0
0,0.485558448,51,0,0.09963548,6583.0,5,0,0,0,0.0
0,0.090641506,69,0,0.016683266999999998,4015.0,2,0,0,0,0.0
0,0.018124667,60,0,0.023181455,1250.0,4,0,0,0,1.0
0,0.611388611,22,0,0.34706616700000004,800.0,4,0,0,0,0.0
0,0.065630892,31,0,0.162635688,5250.0,10,0,0,0,0.0
0,0.499666889,39,0,0.450171821,3200.0,8,0,1,0,0.0
0,0.016406971,55,0,0.001785714,5599.0,3,0,0,0,2.0
0,0.08663540900000001,40,0,887.0,0.0,8,0,1,0,1.0
0,0.9999999,63,3,0.200843235,5217.0,5,0,1,1,4.0
0,0.9999999,45,0,461.0,3950.45012136861,2,0,0,0,0.0
0,0.10680013,44,3,0.747375437,6000.0,8,0,3,0,2.0
0,0.285342534,38,0,0.08951092,3250.0,4,0,0,0,3.0
0,0.162077194,38,0,0.024885359,70000.0,6,0,1,0,2.0
0,0.584844623,60,0,0.293637575,6003.0,11,0,1,0,0.0
0,0.8754406579999998,37,0,0.437717467,1436.0,5,0,0,0,1.0
0,0.043861767,69,0,0.064119265,6908.0,7,0,1,0,0.0
0,0.03929607,48,0,0.480393478,7420.0,10,0,2,0,0.0
1,0.339503567,89,1,0.549380248,2500.0,9,3,0,1,0.0
0,0.008684578999999998,75,0,0.0013269,8289.0,5,0,0,0,0.0
0,0.9999999,55,1,0.138721351,4144.0,1,0,0,0,0.0
0,0.836294011,29,3,0.26017007600000003,4350.0,8,0,1,0,1.0
0,0.9999999,49,1,0.098937721,4800.0,1,0,0,0,4.0
0,0.271898248,64,0,556.0,5348.141483868609,3,0,1,0,0.0
0,0.0,51,0,0.238076192,10000.0,6,0,1,0,0.0
0,0.002964536,67,0,0.349026844,16800.0,14,0,5,0,0.0
1,0.517045364,61,0,0.5725903210000001,7500.0,20,0,2,0,0.0
0,0.024100447,86,0,0.010791367,2223.0,6,0,0,0,0.0
0,0.008665510999999999,58,0,1.908629442,6500.0,17,0,5,0,0.0
0,0.016995185,62,0,0.002301937,5212.0,4,0,0,0,0.0
0,0.06906978400000001,71,0,1468.0,5348.141483868609,3,0,1,0,0.0
0,0.28854138100000004,87,1,0.571428571,1700.0,23,0,0,0,0.0
0,0.221106801,43,0,0.157212981,7333.0,5,0,1,0,0.0
0,0.531963331,64,2,0.480082158,18500.0,19,0,3,0,1.0
0,0.9999999,40,0,2866.0,0.0,2,0,2,0,0.0
0,0.046740048,57,0,0.404799866,11916.0,13,0,3,0,0.0
0,0.057887851,56,0,0.238127698,4400.0,13,0,1,0,1.0
0,0.281880372,28,0,0.179975176,2416.0,7,0,0,0,0.0
0,0.0,53,0,2719.0,5610.061338139034,5,0,1,0,0.0
1,0.402345742,37,0,0.337622356,12667.0,16,0,2,0,3.0
0,1.011332794,52,0,10.80049875,400.0,8,0,1,0,2.0
0,0.281115558,69,0,0.16218618099999998,4500.0,10,0,0,0,1.0
0,0.133688867,49,0,0.09352218300000001,4800.0,7,0,0,0,2.0
0,0.025082109,57,0,0.3608797070000001,3000.0,15,0,0,0,0.0
1,1.248751249,33,0,0.17512032600000002,2700.0,3,2,0,0,0.0
0,0.9999999,75,0,8.0,3950.45012136861,2,0,0,0,0.0
0,0.042534081,69,0,0.009690817,6500.0,4,0,0,0,1.0
0,0.180162143,40,0,0.448326668,9501.0,15,0,2,0,1.0
0,0.030513202000000007,68,0,48.0,4474.289829909462,6,0,0,0,0.0
0,0.175434349,47,0,0.149077983,4500.0,9,0,0,0,0.0
0,0.019883105,64,0,0.028599606,6083.0,16,0,0,0,0.0
0,0.008287427,55,0,0.115171335,7032.0,8,0,1,0,0.0
0,0.091106715,63,0,0.035418452,3500.0,5,0,0,0,0.0
0,0.9999999,56,0,0.00711943,12500.0,2,0,0,0,2.0
0,0.009639594,52,0,0.262440354,4400.0,5,0,0,0,0.0
0,0.0,76,0,272.0,0.0,6,0,0,0,0.0
0,0.045516721,40,0,0.090355422,11000.0,12,0,0,0,3.0
0,0.245744673,46,0,0.5851222420000001,6707.0,21,0,1,0,3.0
0,0.238016933,58,0,0.601017347,7666.0,5,0,3,0,0.0
0,0.410946459,56,0,0.712194056,4575.0,16,0,1,0,0.0
0,0.018497695,40,0,64.0,5391.009319855953,13,0,0,0,0.0
0,0.011904653,69,0,1653.0,8841.191680532016,20,0,2,0,0.0
0,0.0,39,0,0.735131912,6708.0,13,0,2,0,2.0
0,0.312877738,36,0,0.23072116,8000.0,28,0,0,0,0.0
0,0.073191767,54,0,0.020708083,4490.0,4,0,0,0,0.0
0,0.111715105,47,0,0.315173697,16666.0,12,0,2,0,3.0
0,0.0,57,0,0.335066493,10000.0,11,0,2,0,3.0
0,0.0,62,0,17.0,4212.369975639036,4,0,0,0,0.0
0,0.066285085,58,0,0.228999349,9213.0,7,0,1,0,0.0
1,0.02331266,58,0,0.632371083,4052.0,13,1,2,0,0.0
0,0.9999999,65,0,0.0,615.0,3,0,0,0,0.0
0,0.14060251,56,0,0.049700447,11850.0,11,0,0,0,2.0
0,0.002140517,89,1,5.0,0.0,4,0,0,0,0.0
0,0.0,58,0,526.0,6225.589682530069,5,0,1,0,1.0
0,0.716283716,46,0,0.26775232,5280.0,10,0,2,0,2.0
0,0.4275909000000001,39,0,0.342354782,10862.0,14,1,2,0,0.0
0,0.013218661,57,0,0.08532195699999999,7500.0,10,0,1,0,0.0
0,0.000358843,54,0,0.720069983,4000.0,11,0,0,0,0.0
0,0.975146408,33,0,0.332280979,3800.0,4,0,0,0,2.0
0,0.9999999,24,0,0.0,3833.0,1,0,0,0,0.0
0,0.682708972,41,4,0.38708711,13350.0,8,0,4,0,1.0
0,0.013105862,76,0,736.0,6919.660609491165,15,0,1,0,0.0
0,0.0,87,0,2.0,3950.45012136861,2,0,0,0,0.0
0,0.040536902,34,0,0.644091034,3646.0,11,0,1,0,0.0
0,0.178964154,56,0,0.552930754,6772.0,6,0,1,0,1.0
0,0.0,90,0,0.0,4081.410048503823,3,0,0,0,0.0
0,0.003550639000000001,73,0,415.0,5129.089465585527,11,0,0,0,0.0
0,0.715720439,33,0,1.002499107,2800.0,8,0,2,0,0.0
0,0.48268786,30,0,0.264841895,8000.0,9,0,2,1,1.0
0,0.5112397,58,0,0.963084409,9453.0,13,0,3,0,1.0
1,0.0,44,0,6046.0,8667.363917409457,9,0,3,0,0.0
0,0.009654537,73,0,0.122830656,18553.0,6,0,1,0,1.0
0,0.276593085,62,0,0.121835693,19000.0,8,0,1,0,0.0
0,0.9999999,26,0,0.137820513,1871.0,1,0,0,0,0.0
0,0.075168462,48,0,1421.0,5348.141483868609,3,0,1,0,0.0
0,0.5159756879999999,28,0,0.679853795,4650.0,14,0,1,0,0.0
0,0.347921078,42,0,0.373740482,13000.0,11,0,2,0,2.0
0,0.011505437,52,0,0.274253271,4050.0,9,0,1,0,0.0
0,0.667833042,60,0,81.0,3950.45012136861,2,0,0,0,0.0
0,2.258964143,33,2,0.032483758,2000.0,1,1,0,0,2.0
0,0.00339983,63,0,0.262694922,2500.0,5,0,0,0,0.0
0,0.106475741,32,0,0.8023082649999999,2685.0,5,0,1,0,1.0
0,0.196960608,40,0,0.006959443,4166.0,1,0,0,0,0.0
0,0.802993617,42,1,0.524458002,9178.0,9,0,1,0,3.0
0,0.17545213,55,2,0.27018019,9600.0,11,0,2,0,0.0
0,0.127159603,63,0,0.454098361,5489.0,20,0,4,0,0.0
0,0.029132576,68,0,0.008222093,10337.0,10,0,1,0,1.0
0,0.083781617,46,0,0.421201915,5640.0,16,0,1,0,2.0
1,0.913773615,55,2,0.881655429,4300.0,17,0,2,0,1.0
0,0.0,35,0,0.0,1500.0,3,0,0,0,0.0
0,0.133613717,43,1,0.421048246,12000.0,14,0,3,1,2.0
0,0.001905482,37,0,2.694610778,500.0,11,0,2,0,2.0
0,0.001882242,50,0,1.317473011,2500.0,9,0,2,0,1.0
0,0.030327811,70,0,1934.0,7662.552336315098,11,0,2,0,0.0
0,0.194273425,53,0,817.0,7237.594353029057,13,0,0,0,3.0
0,0.235752849,63,0,724.0,4081.410048503823,3,0,0,0,0.0
0,0.154955579,62,1,2446.0,5479.101411003821,4,1,1,0,0.0
0,0.066928871,35,0,0.611050027,3637.0,5,0,1,0,2.0
1,0.228742911,38,2,3558.0,11208.019877543657,19,0,3,0,2.0
0,0.037454421,57,0,0.355043926,3300.0,17,0,1,0,0.0
0,0.040283239,54,0,0.135553584,12400.0,11,0,1,0,0.0
0,0.181442474,32,0,0.067877957,8750.0,2,0,0,0,0.0
0,0.479013137,36,0,0.531659631,4500.0,14,0,1,0,2.0
0,0.408690635,46,0,1.055195584,4166.0,12,0,2,0,0.0
0,0.8973690390000002,57,0,2910.0,5783.889101261593,16,0,0,0,0.0
0,0.004384128,36,0,0.637788225,4466.0,11,0,1,0,1.0
0,0.02464305,75,0,0.009947892,4221.0,10,0,0,0,1.0
0,0.284499685,66,0,1408.0,5351.738028570922,8,0,0,0,1.0
0,0.038660566,71,0,0.308086489,8000.0,7,0,1,0,0.0
0,0.391214634,39,1,0.287181335,11100.0,8,0,2,0,2.0
0,0.377915278,51,0,0.061148228,8830.0,5,0,0,0,1.0
0,0.9999999,51,1,35.0,3688.5302670981837,0,1,0,0,0.0
0,0.112820211,81,0,0.312868713,10000.0,6,0,1,0,0.0
0,0.012538557,63,0,0.38510101,2375.0,12,0,2,0,0.0
0,0.530405318,61,1,0.469418849,13782.0,22,0,2,0,0.0
0,0.323481841,26,0,262.0,4081.410048503823,3,0,0,0,0.0
0,0.014466655,51,0,0.26296215300000003,4570.0,28,0,2,0,0.0
0,0.030761368,62,0,0.015661446000000002,3000.0,5,0,1,0,0.0
0,0.220201834,34,0,0.462354974,4050.0,10,0,2,0,1.0
0,0.788340389,43,0,0.099845092,7100.0,3,0,0,0,1.0
0,0.68028326,80,0,0.42985336,4568.0,6,0,1,0,0.0
0,0.179110121,41,0,0.27491843,9500.0,10,1,1,0,2.0
0,0.9999999,43,0,0.129623459,3000.0,1,0,0,0,0.0
1,0.0007379799999999998,41,0,0.493126718,4000.0,4,0,1,0,2.0
0,0.0,87,0,0.067381539,6900.0,4,0,0,0,1.0
0,0.096113878,41,0,0.224395714,8025.0,10,0,0,0,4.0
0,0.28927034,48,0,0.691654173,2000.0,7,0,1,0,2.0
0,0.077246781,32,0,0.368421053,4084.0,7,0,1,0,0.0
0,0.572324438,50,0,1.052171197,3200.0,12,0,1,0,3.0
0,0.011073664,52,0,0.012372578,12850.0,4,0,0,0,3.0
0,0.9604313980000002,63,0,0.31506036,5052.0,3,0,1,0,1.0
0,0.078754404,30,0,2129.0,7007.752700639033,6,0,2,0,0.0
0,0.163836164,53,1,0.092762895,2500.0,5,0,0,0,0.0
0,0.0199992,52,0,0.188452887,4000.0,6,0,1,0,1.0
0,0.612030682,74,2,0.76967187,3138.0,10,1,2,0,0.0
0,0.801764544,35,1,0.430314406,2130.0,5,0,0,1,2.0
0,0.901795412,47,1,0.52674524,3308.0,6,0,1,0,3.0
0,0.007353556,80,0,0.29991431,3500.0,16,0,0,0,1.0
0,0.39142696,58,2,0.384779992,7476.0,6,0,2,0,0.0
0,0.28910532,55,0,0.939430965,5728.0,17,0,3,0,0.0
0,0.6840209509999999,50,0,0.8948787059999997,11500.0,21,0,3,0,0.0
0,0.0,53,0,0.460725507,3500.0,7,1,1,1,0.0
0,0.941447055,54,0,1.843949701,4850.0,15,0,4,0,1.0
0,0.01718597,48,0,0.348886815,7500.0,8,0,3,0,2.0
0,0.120355791,59,0,0.151986183,11000.0,10,0,2,0,0.0
0,0.099482078,44,0,0.431368631,5004.0,7,0,1,0,3.0
0,0.4183978820000001,58,0,0.414148447,7180.0,14,0,2,0,0.0
1,0.9999999,71,1,0.313816494,2800.0,2,0,1,1,0.0
0,0.386875937,48,0,0.119083018,20850.0,19,0,0,0,2.0
0,0.126458612,60,0,263.0,4605.249757044675,7,0,0,0,0.0
1,0.08764940199999999,27,0,0.009995457,2200.0,2,0,0,1,1.0
0,0.081312065,65,1,315.0,4474.289829909462,6,0,0,0,0.0
0,0.19129696,70,0,0.213109877,10083.0,15,0,1,0,0.0
0,0.1031864,75,0,0.136302675,14166.0,5,0,2,0,0.0
0,0.041084962,64,0,0.264227981,12000.0,8,0,1,0,0.0
0,0.096009775,53,0,0.545157068,4583.0,8,0,1,0,1.0
0,0.028200734,56,0,0.084599116,5200.0,10,0,1,0,0.0
0,0.083984419,49,0,2461.0,8723.377806676923,5,0,2,0,3.0
0,0.392192869,43,0,0.150205533,9000.0,8,0,0,0,2.0
0,0.0,37,0,1.687366167,1400.0,8,0,2,0,0.0
1,0.9999999,60,1,0.540617473,4566.0,2,0,1,1,0.0
0,0.811623025,33,1,0.439755691,1800.0,8,0,0,0,4.0
0,0.002124734,73,0,3256.0,6133.901046679886,9,0,1,0,0.0
0,0.002012856,59,0,1164.0,5217.181556733395,2,0,1,0,0.0
0,0.9999999,65,1,0.061422414,5567.0,1,0,0,0,0.0
0,0.017926392,62,0,0.005187456,4240.0,6,0,0,0,0.0
1,0.887080965,45,0,0.482275525,4710.0,4,0,1,1,2.0
0,0.293687348,31,0,1268.0,5391.009319855953,13,0,0,0,0.0
0,0.414618818,70,0,4681.0,8972.151607667229,21,0,2,0,0.0
0,0.8397926440000002,54,0,0.68240621,3091.0,9,0,1,0,1.0
0,0.924271715,45,4,0.441760601,3725.0,7,2,0,0,2.0
0,0.036422035,30,0,1756.0,1.0,10,0,2,0,0.0
0,0.760016551,48,2,0.917543584,6366.0,10,0,1,0,1.0
0,0.0,68,0,0.634674923,1614.0,9,0,1,0,1.0
0,0.018856544,35,1,0.234095738,8000.0,11,0,0,0,0.0
1,0.9999999,30,0,0.015108425,5625.0,2,0,0,0,1.0
0,0.623875225,41,0,0.037185126,2500.0,2,0,0,0,1.0
0,0.0,42,0,0.483205749,6400.0,3,0,1,0,4.0
0,0.012739234,70,0,0.008663779,3000.0,6,0,0,0,0.0
0,0.447465042,59,0,0.496729238,7031.0,10,0,2,0,2.0
0,0.9875019530000002,52,0,3844.0,7793.512263450311,12,0,2,0,0.0
1,0.972150876,59,0,1.4737979469999998,1850.0,12,0,2,0,0.0
0,0.0,67,0,0.031403337,2037.0,4,0,0,0,1.0
0,0.288425263,77,0,0.533965245,2531.0,8,0,1,0,0.0
0,0.0,59,0,1486.0,6710.15809978589,4,0,1,0,2.0
0,0.160060865,41,1,0.370769853,7416.0,8,1,1,0,1.0
0,0.16351208,50,0,0.5070616170000001,8000.0,14,0,4,0,3.0
0,0.002983261,80,0,0.00012837,7789.0,2,0,0,0,0.0
0,0.202774562,59,0,6994.0,11731.859586084509,23,0,3,0,2.0
0,0.472495626,42,0,0.381654964,11250.0,11,0,3,0,3.0
0,0.09514671,30,0,0.262804799,7750.0,9,0,1,0,0.0
0,0.279441118,57,0,0.001332889,3000.0,1,0,0,0,1.0
0,0.525349959,44,0,0.265853034,11716.0,8,0,2,0,1.0
0,0.8710733559999998,35,0,0.390764509,7167.0,12,0,1,0,0.0
0,0.099145861,72,0,2430.0,9849.59980632869,23,0,2,0,1.0
0,0.0017864970000000004,87,0,0.010723861,1864.0,10,0,0,0,1.0
0,0.032924722000000003,65,0,1.034372502,1250.0,21,0,1,0,0.0
0,0.17371341699999998,80,0,0.391101483,6000.0,7,0,2,0,0.0
0,0.979195663,61,0,0.32073113600000003,6400.0,7,0,1,0,0.0
0,0.0,72,0,133.0,6002.941119544674,8,0,1,0,0.0
0,0.030053276,58,0,937.0,5610.061338139034,5,0,1,0,0.0
0,0.238235664,70,0,1252.0,6395.8209009503125,11,0,1,0,0.0
0,0.892003484,60,0,3955.0,7793.512263450311,12,0,2,0,0.0
0,0.002304248,73,0,4.0,4343.329902774249,5,0,0,0,0.0
0,0.171134801,52,0,2574.0,6526.780828085526,12,0,1,0,0.0
0,0.080481775,38,0,0.273972603,10000.0,12,0,1,0,1.0
0,0.008288705,64,0,0.002893975,3800.0,2,0,0,0,0.0
0,0.199666147,49,1,0.6845681309999999,10743.0,15,0,4,0,2.0
0,0.487837796,41,0,0.249076288,4600.0,5,0,1,0,2.0
0,0.003811909,50,0,0.362583537,24090.0,27,0,5,0,1.0
0,0.35080409999999995,43,0,125.0,4212.369975639036,4,0,0,0,0.0
0,0.68346203,48,0,0.129354508,3903.0,4,0,0,0,0.0
0,0.0,53,0,1635.0,6972.077954056316,6,0,1,0,2.0
0,0.380440179,58,0,0.321542384,6275.0,9,0,1,0,0.0
0,0.6731895440000001,35,0,0.424098921,3800.0,5,0,1,0,0.0
0,0.620903668,42,0,1146.0,7368.55428016427,14,0,0,0,3.0
0,0.001499893,64,0,322.0,5260.049392720741,12,0,0,0,0.0
0,0.9999999,51,0,1.123247319,8486.0,11,0,9,0,1.0
0,0.205031355,39,0,0.602840353,4083.0,10,0,2,0,2.0
0,0.002288418,66,0,0.000499917,6000.0,3,0,0,0,0.0
1,1.083405734,55,3,0.490218316,3526.0,10,0,1,1,1.0
0,0.4433792070000001,42,0,1.412587413,1000.0,8,0,0,0,0.0
0,0.439512098,66,0,0.027951606,2396.0,2,0,0,0,0.0
0,0.0,87,0,0.01910828,6436.0,8,0,0,0,0.0
0,0.023945636,63,0,0.032692543,8166.0,13,0,1,0,0.0
0,0.9999999,47,0,2174.0,5086.221629598182,1,0,1,0,0.0
0,0.0,57,0,0.324611033,4241.0,7,0,1,0,1.0
